Sample_id,Class_1,Class_2,Class_3,Class_4,Class_5,Class_6,Class_7,Class_8,Class_9,Class_10
1,0.13663978494507673,0.024541099707510693,0.48250891929944945,0.006984856538932404,0.020436173976074123,0.03330664383391581,0.2889616797132681,0.00014304676412826064,0.004085667029519538,0.002392128192124934
2,0.033550511708998074,0.01036301295535536,0.1530147612947455,0.008969689784842555,0.02498151406302009,0.00570632523902165,0.2137148762720623,0.007839624736358276,0.5401032613871277,0.001756422558468305
3,0.7627433969720674,0.04218630614852283,6.487611064560961e-05,0.0015584748329182626,0.035494439361092874,0.00960791260991123,0.06844374394232401,0.041271244598950686,0.0004271642589574041,0.038202441164609684
4,0.9753976270218077,0.021484634766156408,0.0009470491923761371,8.686197144463033e-06,0.0008169946994610588,0.00010249950616883446,0.000225363818530167,0.0005911519788291191,0.00018479446092802956,0.00024119835859813695
5,0.8300974631940784,0.0038900348776626493,0.0007665848862886749,0.0003715577641819397,3.076231423932781e-05,0.15441107262388823,7.49865115843935e-05,0.007396587833998418,0.0009180418077506451,0.002042908186327129
6,0.49939569312429155,0.003079025447026438,0.0018031027512559268,0.0015869697369774493,0.2343319223613464,0.05282511018398165,0.021335218596532184,0.18445978066896565,4.01083603100194e-05,0.0011430687693126443
7,0.2046806404055551,0.03127750749001316,0.013130491627865996,0.007984953068070285,0.31549560305033514,0.17718955231436923,0.029202136776270145,0.003380510494129712,0.2065065562889595,0.01115204848443173
8,0.6656659149020836,0.012306585018908718,6.385780701560025e-06,0.005539190175702734,0.21621719996643957,0.0006215091114600616,0.04297013527556679,0.052568354951909486,0.0015479251846739729,0.002556799632553486
9,0.9203338336256456,0.0003069457482795147,0.0007704636517438566,0.0005691396128725706,0.06852870569309254,0.003715424951021227,0.004554047914211211,0.0010107385064567233,6.943430486027517e-05,0.00014126599181657907
10,0.4440510634583901,0.5050459229331608,0.020347205438747965,0.000968811163303185,0.0006521455890484381,0.0004568300234457221,0.0008052621319355098,0.023120336431528773,0.002932456891661734,0.001619965938777679
11,0.8513973560710023,0.014157249403487851,0.0055253353179997265,0.00030901596439634836,0.03688953429037296,0.0332959279687695,0.04935854574786382,0.008721364055586517,8.609102209512337e-06,0.00033706207831131306
12,0.029655516430002315,0.003928061218536315,0.01735146536709401,0.059104195693358764,0.5549417706747721,0.0006963616768302085,0.07481213300657837,0.025377367025672688,3.121102658084549e-05,0.23410191788057438
13,0.9155702943102056,0.04407706776998679,0.01752490473658604,4.973567346260696e-05,0.0013701606762910523,0.006135806167653555,0.005574546171846217,2.8080697060832184e-05,0.005638052410174209,0.004031351386733102
14,0.20798078398080258,0.0019169782183679374,0.011536657248194242,0.4359985382348421,0.05113128308467069,0.0097614366751618,0.0006611674238226247,0.16531728688610872,0.008653389108509546,0.10704247913951971
15,0.3612807134801536,0.019235554922831462,0.0013374675618170275,0.5761960200168417,0.0038249324376454447,0.02097726895074448,0.015606182222008822,0.00045107099777066175,8.272679396976855e-05,0.0010080626162169801
16,0.35445944367239635,0.039777721105525875,0.00031793078514330325,0.017552243459284415,0.06187333961403183,0.004549169539839207,0.19571096151038453,0.3025831658993549,0.00014381661316714543,0.023032207800872343
17,0.42776569280565346,0.16211685059180667,0.15484796076026078,0.009229390126722655,0.0658835753262341,0.07933215397752416,0.014038451301984506,0.018779299335944848,0.04466420635444271,0.023342419419426063
18,0.9889182246601078,0.006610441879807095,0.0023354622728956036,2.024741534663174e-08,1.8479480086548664e-06,0.0020683796250744314,2.2344364171299597e-05,2.5949814489683698e-06,3.8008787186744316e-05,2.6752338839908007e-06
19,0.1270139952953759,0.00673340264403947,0.7340556643301324,4.7225696701189784e-05,0.0017946700303126308,0.1169083013694669,0.005342267633334811,0.007061103931987939,0.0005233510503933878,0.0005200180182555263
20,0.3027023421964007,0.6742646729435414,0.0005087034739621522,0.0017839633640716326,0.000694331335114029,0.005254374657456574,0.003407914043104976,2.6428682572934736e-05,0.01100466606632342,0.00035260323745211114
